time_h,Tx1,Tx2,Tx3,Tx4,Tx5
0.00,-29.89,-78.84,-85.82,-95.54,-97.90
0.25,-29.32,-69.81,-86.41,-90.28,-95.57
0.50,-29.85,-76.06,-86.13,-91.20,-96.96
0.75,-29.54,-74.83,-92.44,-88.64,-98.12
1.00,-28.27,-72.40,-86.22,-91.81,-99.31
1.25,-29.05,-83.07,-87.17,-92.65,-99.21
1.50,-29.85,-73.31,-89.84,-95.49,-96.40
1.75,-27.17,-79.47,-87.84,-89.49,-101.40
2.00,-30.37,-80.88,-85.24,-90.49,-97.06
2.25,-31.89,-77.21,-80.05,-89.23,-93.03
2.50,-28.03,-81.34,-91.15,-101.72,-98.02
2.75,-32.19,-81.08,-84.12,-88.50,-95.78
3.00,-28.31,-81.00,-89.00,-91.80,-87.15
3.25,-29.44,-80.51,-85.25,-90.72,-98.82
3.50,-31.59,-76.93,-83.74,-83.55,-96.55
3.75,-33.37,-75.36,-82.26,-86.33,-95.69
4.00,-30.95,-73.56,-85.03,-89.14,-97.17
4.25,-30.73,-78.68,-90.10,-89.76,-95.68
4.50,-28.35,-79.66,-88.29,-92.69,-100.28
4.75,-32.99,-76.46,-84.61,-89.43,-95.12
5.00,-33.88,-76.37,-87.38,-92.02,-96.12
5.25,-27.79,-78.62,-87.40,-81.28,-96.94
5.50,-30.98,-79.17,-86.13,-85.33,-94.54
5.75,-35.11,-76.87,-85.92,-95.24,-97.78
6.00,-29.03,-81.82,-80.91,-88.72,-96.05
6.25,-31.03,-81.64,-81.38,-87.45,-99.88
6.50,-27.39,-77.35,-84.13,-89.43,-93.60
6.75,-30.40,-77.85,-80.62,-89.73,-93.21
7.00,-29.23,-76.54,-76.34,-90.31,-91.69
7.25,-28.94,-72.27,-85.03,-82.07,-100.30
7.50,-29.89,-69.15,-81.15,-85.49,-89.49
7.75,-31.35,-74.31,-84.84,-86.02,-86.83
8.00,-26.68,-74.50,-82.10,-85.98,-89.10
8.25,-28.92,-72.69,-77.65,-88.16,-94.41
8.50,-27.28,-70.61,-77.94,-84.86,-91.12
8.75,-28.49,-74.97,-82.57,-84.21,-86.87
9.00,-27.04,-69.21,-80.06,-81.45,-91.73
9.25,-24.42,-71.28,-76.80,-84.02,-87.19
9.50,-30.72,-68.78,-77.35,-83.64,-81.92
9.75,-27.77,-70.06,-74.65,-84.44,-83.58
10.00,-28.91,-67.53,-73.68,-80.05,-83.25
10.25,-29.15,-65.01,-76.46,-75.95,-82.81
10.50,-30.36,-67.69,-73.78,-83.74,-83.56
10.75,-27.84,-67.91,-76.00,-82.86,-85.49
11.00,-27.16,-67.21,-71.31,-81.19,-82.26
11.25,-29.76,-73.08,-70.87,-78.40,-85.16
11.50,-30.24,-60.96,-72.56,-76.94,-81.15
11.75,-27.29,-62.63,-69.51,-79.46,-82.19
12.00,-27.08,-66.68,-73.27,-74.72,-82.05
12.25,-30.09,-69.87,-69.24,-71.58,-82.82
12.50,-26.33,-72.41,-72.46,-78.99,-86.55
