time_h,Tx1,Tx2,Tx3,Tx4,Tx5
0.00,-34.59,-74.04,-94.11,-99.34,-97.20
0.25,-35.04,-81.76,-89.56,-98.15,-99.05
0.50,-32.65,-81.99,-88.24,-91.55,-103.21
0.75,-33.82,-73.58,-93.83,-96.08,-105.40
1.00,-29.61,-77.85,-84.26,-101.75,-100.48
1.25,-30.99,-79.02,-93.70,-98.80,-103.13
1.50,-34.04,-81.40,-88.84,-102.85,-107.34
1.75,-30.97,-84.08,-96.54,-100.63,-100.24
2.00,-29.51,-80.61,-88.79,-99.61,-104.45
2.25,-32.10,-79.02,-87.06,-103.41,-107.27
2.50,-31.28,-82.45,-91.03,-98.48,-103.99
2.75,-30.80,-86.69,-99.83,-108.86,-106.97
3.00,-31.36,-84.90,-93.93,-104.49,-107.30
3.25,-34.69,-79.84,-92.46,-101.01,-105.25
3.50,-30.79,-83.45,-90.40,-101.29,-102.61
3.75,-29.85,-78.27,-98.08,-98.47,-104.97
4.00,-33.71,-81.36,-97.86,-108.44,-101.53
4.25,-29.56,-80.89,-90.16,-100.78,-105.37
4.50,-26.27,-79.61,-90.51,-93.58,-100.80
4.75,-31.03,-83.97,-91.04,-104.56,-102.60
5.00,-34.09,-87.47,-87.48,-99.25,-102.60
5.25,-34.08,-85.96,-93.20,-100.26,-105.68
5.50,-34.29,-89.13,-89.90,-96.94,-103.58
5.75,-32.33,-83.14,-93.18,-95.50,-94.53
6.00,-33.78,-83.71,-88.34,-101.93,-97.40
6.25,-34.45,-80.08,-87.31,-101.26,-92.26
6.50,-29.07,-73.87,-90.44,-104.83,-95.84
6.75,-28.25,-81.27,-89.74,-93.79,-101.38
7.00,-29.00,-72.16,-86.65,-93.12,-92.70
7.25,-37.25,-75.37,-85.50,-100.75,-93.88
7.50,-30.70,-80.40,-91.39,-98.75,-97.69
7.75,-34.41,-79.20,-87.08,-98.57,-93.16
8.00,-33.22,-81.05,-87.05,-91.19,-100.05
8.25,-32.49,-81.94,-83.07,-86.34,-90.53
8.50,-31.71,-76.25,-83.93,-96.00,-96.73
8.75,-34.26,-75.76,-89.13,-95.52,-93.00
9.00,-34.23,-76.26,-91.17,-95.93,-93.76
9.25,-30.23,-75.88,-84.66,-94.51,-93.43
9.50,-27.10,-75.49,-81.36,-96.70,-92.05
9.75,-28.93,-71.94,-80.36,-97.72,-93.05
10.00,-32.87,-74.96,-84.94,-87.67,-93.03
10.25,-31.82,-78.12,-79.07,-91.12,-95.81
10.50,-33.45,-70.38,-83.33,-97.91,-88.67
10.75,-30.91,-68.76,-76.09,-92.94,-88.08
11.00,-30.39,-69.18,-80.13,-96.58,-87.92
11.25,-28.87,-70.17,-84.92,-95.09,-86.25
11.50,-30.92,-70.81,-84.78,-79.00,-88.62
11.75,-33.28,-74.30,-81.60,-86.77,-83.80
12.00,-32.53,-75.37,-84.80,-78.63,-88.97
12.25,-32.10,-76.21,-83.83,-87.72,-92.56
12.50,-30.55,-73.17,-79.30,-83.51,-88.65
12.75,-29.95,-69.33,-86.52,-85.30,-88.01
13.00,-34.33,-74.82,-80.40,-90.40,-88.75
13.25,-35.47,-64.06,-76.41,-82.67,-87.14
13.50,-27.09,-73.26,-74.39,-81.61,-86.73
13.75,-25.92,-63.62,-83.74,-86.73,-89.71
14.00,-31.88,-67.98,-81.82,-84.57,-90.33
14.25,-30.46,-70.63,-76.21,-79.97,-84.51
14.50,-31.00,-67.34,-83.84,-80.03,-89.05
14.75,-35.94,-79.81,-81.64,-87.35,-92.87
15.00,-29.60,-69.65,-80.01,-95.77,-95.60
15.25,-30.78,-74.62,-80.83,-88.36,-87.81
15.50,-29.32,-77.79,-87.52,-90.73,-90.40
15.75,-28.60,-68.50,-79.38,-85.19,-88.65
16.00,-28.52,-74.94,-83.71,-83.07,-89.62
16.25,-29.24,-69.45,-83.41,-89.34,-97.28
16.50,-27.23,-70.57,-73.62,-94.40,-90.16
16.75,-27.17,-73.64,-83.80,-88.94,-88.22
17.00,-28.06,-75.49,-80.85,-87.37,-91.32
17.25,-30.49,-80.87,-84.13,-90.17,-99.14
17.50,-29.89,-76.34,-81.04,-86.35,-90.19
17.75,-28.93,-71.81,-87.36,-91.02,-97.94
18.00,-27.87,-70.62,-88.67,-97.33,-98.74
18.25,-32.88,-75.07,-86.86,-89.82,-94.58
18.50,-28.23,-78.45,-88.67,-93.80,-102.21
18.75,-28.27,-78.14,-87.50,-92.34,-102.74
19.00,-28.47,-72.64,-85.21,-98.45,-98.92
